,ResponseId,MainBranch,Employment,RemoteWork,EdLevel,YearsCode,OrgSize,Country,Age,Gender,Trans,Sexuality,Ethnicity,Accessibility,MentalHealth,WorkExp,ConvertedCompYearly,C#,C,HTML/CSS,Python,Dart,Bash/Shell,JavaScript,Java,Haskell,Assembly,Go,Groovy,Crystal,PHP,Delphi,C++,Clojure,Kotlin,APL,Rust,TypeScript,COBOL,PowerShell,Scala,Elixir,F#,LISP,Ruby,Julia,MATLAB,Objective-C,Erlang,Swift,Fortran,OCaml,R,SQL,Perl,Lua,VBA
210,211,2,2,1,1,3,4,1,1,1,1,1,3,1,2,2.0,100000.0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
212,213,2,2,1,1,1,7,14,5,1,1,1,1,1,2,0.0,27641.0,0,0,1,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
214,215,2,2,3,1,2,3,1,5,1,1,1,1,1,2,0.0,75000.0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
218,219,1,2,2,2,4,4,12,1,1,1,4,2,1,2,2.0,85315.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
222,223,2,2,1,1,3,4,1,1,1,1,1,1,1,13,2.0,147000.0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
224,225,2,2,1,1,3,5,14,2,1,1,1,4,1,9,1.0,59050.0,0,1,1,1,0,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
225,226,2,2,2,1,3,1,1,1,2,1,1,1,1,2,2.0,101000.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
228,229,2,2,1,7,2,8,1,1,1,1,1,1,1,6,2.0,120000.0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
232,233,1,2,1,7,4,5,1,1,2,1,2,1,1,2,2.0,160000.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
233,234,2,2,1,1,2,4,1,2,2,1,1,10,1,2,0.0,175000.0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
239,240,2,2,1,5,5,2,1,6,1,1,1,22,1,2,4.0,100000.0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
243,244,2,2,2,2,4,9,4,1,1,1,1,4,1,2,2.0,68252.0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
247,248,2,2,2,1,4,8,1,1,1,1,1,1,1,2,3.0,250000.0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
254,255,2,2,1,5,3,7,3,5,1,1,1,1,1,3,0.0,75507.0,0,0,0,1,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
258,259,2,2,2,2,2,4,6,2,1,1,1,2,1,2,0.0,27756.0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
261,262,2,2,3,1,2,10,14,5,1,1,1,1,1,5,0.0,27641.0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
262,263,1,2,2,1,2,5,3,5,1,1,1,23,1,4,0.0,43727.0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
266,267,2,2,1,2,2,4,21,2,1,1,1,2,1,2,1.0,114324.0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
268,269,2,4,3,1,2,7,22,2,1,1,1,24,1,2,0.0,8244.0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
271,272,2,2,2,1,3,7,14,2,1,1,1,1,1,2,1.0,96742.0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
273,274,2,2,2,1,4,8,1,3,1,1,1,25,1,15,3.0,140000.0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
274,275,2,1,1,4,4,8,14,1,1,1,1,1,1,2,3.0,125639.0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
275,276,2,2,1,4,2,1,7,2,2,1,1,14,1,9,1.0,96852.0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
276,277,2,2,2,1,3,8,14,5,1,1,2,5,1,2,0.0,42089.0,0,0,1,1,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
277,278,2,2,2,1,3,1,10,2,1,1,1,4,1,2,2.0,93846.0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
278,279,2,2,2,1,1,4,1,2,1,1,1,12,1,2,0.0,67000.0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
279,280,2,2,1,1,3,1,11,1,1,1,1,26,1,2,2.0,86304.0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
280,281,2,2,2,1,4,5,1,1,1,1,1,1,1,2,2.0,315000.0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
284,285,2,1,2,4,2,1,2,2,1,1,7,27,4,16,0.0,35192.0,1,0,1,0,0,0,1,1,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
292,293,2,2,2,1,3,5,16,2,1,1,1,2,1,2,1.0,71916.0,1,0,1,1,0,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
296,297,2,2,2,2,3,1,3,2,1,1,5,1,1,3,1.0,70276.0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
297,298,2,2,2,2,4,4,3,1,1,1,1,2,1,2,2.0,140551.0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
298,299,2,2,2,2,2,1,6,2,1,1,1,2,1,17,1.0,41628.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
299,300,2,2,2,1,2,4,1,2,1,1,1,28,1,17,1.0,104000.0,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1
307,308,2,2,1,1,3,7,1,1,1,1,1,1,1,2,3.0,206000.0,1,0,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
308,309,2,2,1,1,2,4,1,2,1,1,1,1,1,2,1.0,8000000.0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
312,313,2,2,2,1,1,4,1,1,1,1,1,1,1,12,2.0,45000.0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
